anime_id,name,genre,rating,member
29349,Doron Coron,"Kids, Slice of Life",4.62,46
2073,Hengen Taima Yakou Karura Mau! Sendai Kokeshi Enka,"Horror, Shoujo",6.58,328
6281,Asylum Session,"Sci-Fi, Seinen",5.25,2678
19271,Gekitou! Crush Gear Turbo: Kaizabaan no Chousen,"Shounen, Sports",6.65,273
19479,Monkey Punch: Manga Katsudou Daishashin - Crime Mate Special,"Action, Comedy, Ecchi, Parody",6.2,105
31105,Buddy Complex: Daremo Shiranai Ashita e,"Action, Mecha, Sci-Fi",7.07,987
163,Power Stone,"Adventure, Comedy, Fantasy, Historical, Shounen",6.57,4308
10020,Ore no Imouto ga Konnani Kawaii Wake ga Nai Specials,"Comedy, Seinen, Slice of Life",7.66,101495
8985,Yojouhan Shinwa Taikei Specials,Comedy,6.41,10005
28775,White Fantasy,"Fantasy, Sports",5.73,503
2039,Mahou no Yousei Persia,"Comedy, Magic",6.77,990
29453,Kenka no Ato wa,"Kids, Music, Romance",5.17,96
6202,Daisetsusan no Yuusha Kibaou,"Adventure, Drama",7.13,322
32999,"Neko mo, Onda-ke","Comedy, Slice of Life",3.63,234
5304,Akiba-chan,"Comedy, Kids, Slice of Life",5.39,1383
20223,Shounen Tokugawa Ieyasu,"Drama, Historical, Shounen",7,94
30264,Hello Kitty no Cinderella (OVA),"Fantasy, Kids",5.83,99
32670,Battle Spirits: Double Drive,"Action, Kids",6.46,515
26281,Mother Teresa,"Drama, Historical, Kids",7.25,52
33734,Samurai Noodles: The Originator,"Historical, Samurai",6.15,254
29559,San-biki no Koguma-san,Kids,3.63,80
996,Bishoujo Senshi Sailor Moon: Sailor Stars,"Adventure, Comedy, Drama, Fantasy, Magic, Romance, Shoujo",7.99,52586
9013,Kuruneko Season 2,"Comedy, Slice of Life",7.38,675
13833,Nagareboshi Lens,"Romance, Shoujo",6.79,12437
807,Tsubasa Chronicle: Tori Kago no Kuni no Himegimi,"Action, Adventure, Drama, Fantasy, Shounen",7.39,33633
3350,Kininaru Kimochi,Hentai,6.26,1923
6889,Time Bokan Series: Zenderman,"Action, Adventure, Comedy, Mecha, Sci-Fi, Super Power",6.22,298
4151,Blade of the Immortal,"Action, Adventure, Historical, Samurai, Supernatural",6.93,36058
3615,Neo Angelique Abyss,"Comedy, Fantasy, Harem, Romance, Shoujo",7.01,24149
3516,Hal &amp; Bons,"Comedy, Slice of Life",5.28,356
442,Naruto Movie 1: Dai Katsugeki!! Yuki Hime Shinobu Houjou Dattebayo!,"Adventure, Comedy, Drama, Historical, Shounen, Supernatural",7.17,120571
11747,Kiriya Hakushaku Ke no Roku Shimai,Hentai,6.82,2729
29413,Dog Days Recap,"Action, Adventure, Fantasy, Magic",6.78,2169
25755,Yowamushi Pedal: Re:RIDE,"Drama, Shounen, Sports",7.48,4749
3222,Kiddy Grade: Maelstrom,"Action, Mecha, Sci-Fi, Super Power",7.33,3189
9846,Attraction,Mystery,6.24,1430
32005,Detective Conan Movie 20: The Darkest Nightmare,"Action, Mystery, Police, Shounen",8.32,6229
5276,Happy Happy Clover,"Comedy, Fantasy, Kids, Shoujo",6.67,623
16474,Soushisouai Note The Animation,Hentai,7.28,3189
33396,Hua Jiang Hu Zhi Bu Liang Ren,"Adventure, Drama, Historical, Martial Arts, Romance",8,59
1338,Shin Megami Tensei: Tokyo Mokushiroku,"Action, Horror, Sci-Fi",5.71,2871
21493,Ninja Hattori-kun: Nin Nin Ninpo Enikki no Maki,"Comedy, Martial Arts, Slice of Life",5.88,116
3649,Bishoujo Comic Lolicon Angel: Mitsu no Aji,Hentai,5.8,1445
2220,Be-Boy Kidnapp&#039;n Idol,"Drama, Shounen Ai",5.67,4311
34503,Kochinpa! Dainiki,Comedy,3.4,75
28625,Shisha no Teikoku,"Historical, Psychological, Sci-Fi",7.04,31182
2929,Moonlight Mile 2nd Season: Touch Down,"Adventure, Drama, Sci-Fi, Space",7.51,2758
8109,Tottoko Hamtarou Movie 4: Hamtaro to Fushigi no Oni no Emon Tou,"Adventure, Comedy, Kids",6.6,962
31588,All Out!!,"School, Seinen, Sports",7.16,35461
17082,Aiura,"Comedy, School, Shounen, Slice of Life",6.84,43737
33933,Yasamura Yasashi no Yasashii Sekai,Comedy,4.44,369
8235,Muumin (1972),"Adventure, Comedy, Fantasy, Slice of Life",6.81,898
2690,Urban Square: Kouhaku no Tsuigeki,"Action, Mystery, Seinen",6.25,656
32636,Hokori Inu no Hanashi,,4.36,51
30383,Classroomâ˜†Crisis,"School, Sci-Fi",7.16,55977
10113,Yokohama Meibutsu: Otoko Katayama-gumi!,"Action, School, Shounen",6.53,150
430,Fullmetal Alchemist: The Conqueror of Shamballa,"Comedy, Drama, Fantasy, Historical, Military, Shounen",7.74,186465
30484,Steins;Gate 0,"Sci-Fi, Thriller",,60999
14073,Ebiten: Kouritsu Ebisugawa Koukou Tenmonbu,"Comedy, Ecchi, Parody, School, Shounen",6.34,16438
1500,Teizokurei Daydream,"Comedy, Drama, Ecchi, Horror, Supernatural",6.4,5305
13939,Accel World EX,"Action, Game, Romance, School, Sci-Fi",7.32,61198
9595,Amanatsu,Sci-Fi,6.34,1305
10114,Nintama Rantarou Movie: Ninjutsu Gakuen Zenin Shutsudou! no Dan,"Comedy, Shounen",6.85,297
1151,Dominion,"Comedy, Mecha, Police, Sci-Fi",7.06,7850
5554,Eguchi Hisashi no Nantoka Narudesho!,"Parody, Shoujo, Sports",5.32,246
250,Konjiki no Gash Bell!!,"Adventure, Comedy, Magic, Shounen, Supernatural",7.66,51403
25883,Taisei Kensetsu: Vietnam Noi Bai Kuukou,Drama,6.39,2258
3081,Attacker You!,"Action, Romance, Shoujo, Sports",6.66,2733
32745,Fake Style,Music,6.13,85
29718,Kumo no Ito (Special),Drama,6.6,58
3497,Steady x Study,Romance,4.7,310
1544,Super Robot Taisen OG The Animation,"Mecha, Sci-Fi, Shounen, Space",6.79,2653
2798,Hatsu Inu The Animation,Hentai,7.46,14076
9904,Inyouchuu Etsu,"Demons, Fantasy, Hentai, Magic, Romance, Supernatural",6.35,2121
7500,Maabou no Shounen Koukuu Tsuwamono,Historical,5.88,110
3069,Yamato yo Towa ni,"Action, Adventure, Drama, Military, Sci-Fi, Space",6.82,1148
29093,Grisaia no Meikyuu: Caprice no Mayu 0,Drama,8.05,70039
11711,Me wo Samase Toragorou,Kids,5.67,69
9309,Kansen 3: Shuto Houkai,Hentai,6.58,2654
17088,Agigongryong Doolie,"Adventure, Kids",5.82,180
25285,Seirei Tsukai no Blade Dance Specials,"Action, Ecchi, Fantasy, School, Supernatural",6.78,14392
3078,Magical Twilight,"Comedy, Hentai, Magic, Romance",6.12,1027
3286,Gibo no Toiki: Haitoku Kokoro ni Tadayou Haha no Iroka,Hentai,6.79,3536
